R_gds_inst (Vctrl=0) X,R_gds_inst (Vctrl=0) Y,R_gds_inst (Vctrl=0.1) X,R_gds_inst (Vctrl=0.1) Y,R_gds_inst (Vctrl=0.2) X,R_gds_inst (Vctrl=0.2) Y,R_gds_inst (Vctrl=0.3) X,R_gds_inst (Vctrl=0.3) Y,R_gds_inst (Vctrl=0.4) X,R_gds_inst (Vctrl=0.4) Y,R_gds_inst (Vctrl=0.5) X,R_gds_inst (Vctrl=0.5) Y,R_gds_inst (Vctrl=0.05) X,R_gds_inst (Vctrl=0.05) Y,R_gds_inst (Vctrl=0.15) X,R_gds_inst (Vctrl=0.15) Y,R_gds_inst (Vctrl=0.25) X,R_gds_inst (Vctrl=0.25) Y,R_gds_inst (Vctrl=0.35) X,R_gds_inst (Vctrl=0.35) Y,R_gds_inst (Vctrl=0.45) X,R_gds_inst (Vctrl=0.45) Y
-0.199,178515.5975,-0.199,158678.7383,-0.199,135099.5757,-0.199,106869.3051,-0.199,73198.90634,-0.199,33655.5976,-0.199,169011.7075,-0.199,147412.4689,-0.199,121622.5743,-0.199,90747.41937,-0.199,54192.20693
-0.198,178733.2608,-0.198,158859.3351,-0.198,135235.5858,-0.198,106951.508,-0.198,73224.43659,-0.198,33710.74547,-0.198,169211.6543,-0.198,147571.8406,-0.198,121732.8606,-0.198,90800.05504,-0.198,54207.19455
-0.197,178888.2486,-0.197,158998.7742,-0.197,135358.415,-0.197,107058.2625,-0.197,73320.91628,-0.197,33819.83642,-0.197,169359.04,-0.197,147703.0517,-0.197,121847.3934,-0.197,90900.32496,-0.197,54305.15353
-0.196,179041.7383,-0.196,159136.8822,-0.196,135480.1132,-0.196,107164.1275,-0.196,73416.79167,-0.196,33928.61151,-0.196,169505.0073,-0.196,147833.027,-0.196,121960.9102,-0.196,90999.84294,-0.196,54402.65992
-0.195,179193.6848,-0.195,159273.6188,-0.195,135600.6459,-0.195,107269.0752,-0.195,73512.043,-0.195,34037.06071,-0.195,169649.5137,-0.195,147961.7292,-0.195,122073.38,-0.195,91098.58519,-0.195,54499.69833
-0.194,179344.0433,-0.194,159408.9444,-0.194,135719.9793,-0.194,107373.0783,-0.194,73606.6507,-0.194,34145.17391,-0.194,169792.5166,-0.194,148089.1212,-0.194,122184.7719,-0.194,91196.52813,-0.194,54596.2534
-0.193,179492.7695,-0.193,159542.8192,-0.193,135838.0793,-0.193,107476.1097,-0.193,73700.59519,-0.193,34252.94086,-0.193,169933.9741,-0.193,148215.1662,-0.193,122295.0553,-0.193,91293.64825,-0.193,54692.30976
-0.192,179639.8191,-0.192,159675.2041,-0.192,135954.9122,-0.192,107578.1422,-0.192,73793.85696,-0.192,34360.35117,-0.192,170073.8443,-0.192,148339.8276,-0.192,122404.1996,-0.192,91389.92214,-0.192,54787.85202
-0.191,179785.1485,-0.191,159806.0598,-0.191,136070.4448,-0.191,107679.149,-0.191,73886.41655,-0.191,34467.39435,-0.191,170212.0857,-0.191,148463.0689,-0.191,122512.1746,-0.191,91485.3265,-0.191,54882.86477
-0.19,179928.714,-0.19,159935.3478,-0.19,136184.6437,-0.19,107779.1033,-0.19,73978.25459,-0.19,34574.05983,-0.19,170348.6571,-0.19,148584.8542,-0.19,122618.9502,-0.19,91579.83821,-0.19,54977.33264
-0.189,180070.4727,-0.189,160063.0297,-0.189,136297.4761,-0.189,107877.9786,-0.189,74069.35184,-0.189,34680.3369,-0.189,170483.5177,-0.189,148705.1478,-0.189,122724.4966,-0.189,91673.43428,-0.189,55071.24027
-0.188,180210.382,-0.188,160189.0675,-0.188,136408.9095,-0.188,107975.7487,-0.188,74159.68915,-0.188,34786.21479,-0.188,170616.6272,-0.188,148823.9143,-0.188,122828.7843,-0.188,91766.09195,-0.188,55164.57234
-0.187,180348.3999,-0.187,160313.4239,-0.187,136518.9118,-0.187,108072.3877,-0.187,74249.24755,-0.187,34891.68266,-0.187,170747.9459,-0.187,148941.1189,-0.187,122931.7842,-0.187,91857.78868,-0.187,55257.31359
-0.186,180484.4851,-0.186,160436.0619,-0.186,136627.4512,-0.186,108167.8699,-0.186,74338.00823,-0.186,34996.7296,-0.186,170877.4343,-0.186,149056.7271,-0.186,123033.4675,-0.186,91948.50216,-0.186,55349.44885
-0.185,180618.5967,-0.185,160556.9451,-0.185,136734.4967,-0.185,108262.1701,-0.185,74425.95258,-0.185,35101.34464,-0.185,171005.054,-0.185,149170.7051,-0.185,123133.8059,-0.185,92038.21039,-0.185,55440.96303
