VN() X,VN() Y
1000,2.63E-11
1318.256739,2.28E-11
1737.800829,1.98E-11
2290.867653,1.73E-11
3019.95172,1.50E-11
3981.071706,1.30E-11
5248.074602,1.13E-11
6918.309709,9.87E-12
9120.108394,8.59E-12
12022.64435,7.48E-12
15848.93192,6.51E-12
20892.96131,5.67E-12
27542.28703,4.95E-12
36307.80548,4.31E-12
47863.00923,3.77E-12
63095.73445,3.29E-12
83176.37711,2.88E-12
109647.8196,2.53E-12
144543.9771,2.22E-12
190546.0718,1.96E-12
251188.6432,1.73E-12
331131.1215,1.54E-12
436515.8322,1.37E-12
575439.9373,1.23E-12
758577.575,1.12E-12
1000000,1.02E-12
1318256.739,9.37E-13
1737800.829,8.70E-13
2290867.653,8.16E-13
3019951.72,7.72E-13
3981071.706,7.37E-13
5248074.602,7.09E-13
6918309.709,6.87E-13
9120108.394,6.70E-13
12022644.35,6.57E-13
15848931.92,6.47E-13
20892961.31,6.39E-13
27542287.03,6.32E-13
36307805.48,6.28E-13
47863009.23,6.24E-13
63095734.45,6.21E-13
83176377.11,6.19E-13
109647819.6,6.17E-13
144543977.1,6.15E-13
190546071.8,6.13E-13
251188643.2,6.11E-13
331131121.5,6.09E-13
436515832.2,6.06E-13
575439937.3,6.05E-13
758577575,6.04E-13
1000000000,6.04E-13
