Process Corner,Voltage (V),Temperature (°C),Yield,Minimum,Status,Maximum,Mean,Std. Dev.
top_ttg,0.72,-20,100% (100/100),6.061,info,6.254,6.171,0.04591
top_ttg,0.72,25,100% (100/100),6.056,info,6.259,6.158,0.0472
top_ttg,0.72,85,100% (100/100),6.076,info,6.261,6.182,0.05553
top_ttg,0.8,-20,100% (100/100),6.067,info,6.218,6.143,0.04088
top_ttg,0.8,25,100% (100/100),6.054,info,6.225,6.148,0.04312
top_ttg,0.8,85,100% (100/100),6.057,info,6.235,6.15,0.04844
top_ttg,0.88,-20,100% (100/100),6.058,info,6.199,6.138,0.03978
top_ttg,0.88,25,100% (100/100),6.052,info,6.21,6.132,0.0453
top_ttg,0.88,85,100% (100/100),6.037,info,6.221,6.138,0.04588
top_fsg,0.72,-20,100% (100/100),6.089,info,6.252,6.18,0.04444
top_fsg,0.72,25,100% (100/100),6.092,info,6.252,6.173,0.04583
top_fsg,0.72,85,100% (100/100),6.076,info,6.259,6.17,0.04966
top_fsg,0.8,-20,100% (100/100),6.056,info,6.214,6.152,0.03694
top_fsg,0.8,25,100% (100/100),6.055,info,6.228,6.147,0.04247
top_fsg,0.8,85,100% (100/100),6.055,info,6.233,6.153,0.04824
top_fsg,0.88,-20,100% (100/100),6.057,info,6.197,6.134,0.03502
top_fsg,0.88,25,100% (100/100),6.072,info,6.204,6.143,0.03662
top_fsg,0.88,85,100% (100/100),6.067,info,6.214,6.139,0.04079
top_sfg,0.72,-20,100% (100/100),6.068,info,6.254,6.17,0.04734
top_sfg,0.72,25,100% (100/100),6.058,info,6.261,6.166,0.05417
top_sfg,0.72,85,100% (100/100),6.07,info,6.264,6.166,0.05201
top_sfg,0.8,-20,100% (100/100),6.06,info,6.225,6.142,0.04076
top_sfg,0.8,25,100% (100/100),6.054,info,6.229,6.137,0.04615
top_sfg,0.8,85,100% (100/100),6.052,info,6.23,6.142,0.05005
top_sfg,0.88,-20,100% (100/100),6.049,info,6.203,6.131,0.0405
top_sfg,0.88,25,100% (100/100),6.053,info,6.213,6.129,0.04412
top_sfg,0.88,85,100% (100/100),6.042,info,6.218,6.134,0.04716
top_ffag,0.72,-20,100% (100/100),6.105,info,6.234,6.174,0.03423
top_ffag,0.72,25,100% (100/100),6.048,info,6.239,6.172,0.04143
top_ffag,0.72,85,100% (100/100),6.091,info,6.249,6.182,0.03884
top_ffag,0.8,-20,100% (100/100),5.979,info,6.206,6.147,0.04059
top_ffag,0.8,25,100% (100/100),6.091,info,6.218,6.158,0.0326
top_ffag,0.8,85,100% (100/100),6.057,info,6.226,6.161,0.04075
top_ffag,0.88,-20,100% (100/100),5.697,info,6.193,6.075,0.1203
top_ffag,0.88,25,100% (100/100),6.077,info,6.199,6.142,0.03062
top_ffag,0.88,85,100% (100/100),6.091,info,6.211,6.15,0.03612
top_ssag,0.72,-20,100% (100/100),6.068,info,6.276,6.183,0.05251
top_ssag,0.72,25,100% (100/100),6.074,info,6.266,6.17,0.05058
top_ssag,0.72,85,100% (100/100),6.077,info,6.283,6.188,0.04906
top_ssag,0.8,-20,100% (100/100),6.034,info,6.234,6.135,0.04838
top_ssag,0.8,25,100% (100/100),6.04,info,6.245,6.141,0.056
top_ssag,0.8,85,100% (100/100),6.055,info,6.252,6.137,0.05061
top_ssag,0.88,-20,100% (100/100),6.019,info,6.212,6.128,0.0542
top_ssag,0.88,25,100% (100/100),6.025,info,6.221,6.122,0.05115
top_ssag,0.88,85,100% (100/100),6.033,info,6.231,6.141,0.0539
