Process,Voltage (V),Temperature (°C),Yield,Minimum,Status,Maximum,Mean,Std. Dev.
tt_mismatch_lib,1.08,-20,100% (20/20),0.7744,info,1.089,0.9504,0.08016
tt_mismatch_lib,1.08,25,100% (20/20),0.8129,info,1.061,0.9643,0.06458
tt_mismatch_lib,1.08,85,100% (20/20),0.9159,info,1.044,0.9814,0.03249
tt_mismatch_lib,1.2,-20,100% (20/20),0.7974,info,1.076,0.9667,0.07485
tt_mismatch_lib,1.2,25,100% (20/20),0.8822,info,1.064,0.9813,0.04577
tt_mismatch_lib,1.2,85,100% (20/20),0.9484,info,1.028,0.9859,0.01949
tt_mismatch_lib,1.32,-20,100% (20/20),0.8565,info,1.08,0.9808,0.05635
tt_mismatch_lib,1.32,25,100% (20/20),0.9414,info,1.044,0.9892,0.02677
tt_mismatch_lib,1.32,85,100% (20/20),0.9631,info,1.013,0.9861,0.0125
ff_mismatch_lib,1.08,-20,100% (20/20),0.8959,info,1.057,0.9813,0.04273
ff_mismatch_lib,1.08,25,100% (20/20),0.9429,info,1.023,0.9824,0.02149
ff_mismatch_lib,1.08,85,100% (20/20),0.9455,info,0.9965,0.9734,0.01342
ff_mismatch_lib,1.2,-20,100% (20/20),0.9463,info,1.029,0.9861,0.02379
ff_mismatch_lib,1.2,25,100% (20/20),0.9596,info,1.007,0.9825,0.01301
ff_mismatch_lib,1.2,85,100% (20/20),0.9548,info,0.9924,0.9736,0.01014
ff_mismatch_lib,1.32,-20,100% (20/20),0.9639,info,1.01,0.9857,0.01333
ff_mismatch_lib,1.32,25,100% (20/20),0.9684,info,0.998,0.9822,0.008372
ff_mismatch_lib,1.32,85,100% (20/20),0.9573,info,0.989,0.9739,0.008402
ss_mismatch_lib,1.08,-20,100% (20/20),0.7579,info,1.046,0.9255,0.07554
ss_mismatch_lib,1.08,25,100% (20/20),0.7893,info,1.038,0.9375,0.06623
ss_mismatch_lib,1.08,85,100% (20/20),0.8172,info,1.04,0.9511,0.05844
ss_mismatch_lib,1.2,-20,100% (20/20),0.7783,info,1.08,0.9501,0.07748
ss_mismatch_lib,1.2,25,100% (20/20),0.8074,info,1.074,0.9605,0.06835
ss_mismatch_lib,1.2,85,100% (20/20),0.8512,info,1.059,0.9756,0.05018
ss_mismatch_lib,1.32,-20,100% (20/20),0.7948,info,1.097,0.965,0.0775
ss_mismatch_lib,1.32,25,100% (20/20),0.8288,info,1.072,0.9747,0.06229
ss_mismatch_lib,1.32,85,100% (20/20),0.9303,info,1.052,0.9884,0.03067
fs_mismatch_lib,1.08,-20,100% (20/20),0.7555,info,1.087,0.9373,0.08328
fs_mismatch_lib,1.08,25,100% (20/20),0.7985,info,1.069,0.957,0.07042
fs_mismatch_lib,1.08,85,100% (20/20),0.8842,info,1.049,0.9785,0.04359
fs_mismatch_lib,1.2,-20,100% (20/20),0.7872,info,1.084,0.9629,0.07936
fs_mismatch_lib,1.2,25,100% (20/20),0.8561,info,1.065,0.9786,0.05373
fs_mismatch_lib,1.2,85,100% (20/20),0.93,info,1.032,0.9846,0.02592
fs_mismatch_lib,1.32,-20,100% (20/20),0.8409,info,1.081,0.9799,0.06145
fs_mismatch_lib,1.32,25,100% (20/20),0.933,info,1.046,0.9885,0.02988
fs_mismatch_lib,1.32,85,100% (20/20),0.9503,info,1.015,0.9844,0.01602
sf_mismatch_lib,1.08,-20,100% (20/20),0.7623,info,1.036,0.9267,0.07473
sf_mismatch_lib,1.08,25,100% (20/20),0.7938,info,1.04,0.9447,0.06412
sf_mismatch_lib,1.08,85,100% (20/20),0.901,info,1.038,0.9741,0.03441
sf_mismatch_lib,1.2,-20,100% (20/20),0.792,info,1.072,0.9613,0.07312
sf_mismatch_lib,1.2,25,100% (20/20),0.8726,info,1.061,0.9775,0.04539
sf_mismatch_lib,1.2,85,100% (20/20),0.9535,info,1.025,0.9861,0.01993
sf_mismatch_lib,1.32,-20,100% (20/20),0.8539,info,1.079,0.9791,0.05478
sf_mismatch_lib,1.32,25,100% (20/20),0.9443,info,1.042,0.9884,0.02591
sf_mismatch_lib,1.32,85,100% (20/20),0.9662,info,1.012,0.9869,0.01312
