Vin,Vout_FF,Vout_FS,Vout_SF,Vout_SS,Vout_TT(Reference_corner)
-0.3,-2.66E-05,-0.000137538,1.33E-05,0.000320342,2.90E-05
-0.299,-2.72E-05,-0.000137946,1.37E-05,0.000324783,2.99E-05
-0.298,-2.77E-05,-0.000138304,1.42E-05,0.000329322,3.08E-05
-0.297,-2.83E-05,-0.000138625,1.46E-05,0.000333908,3.18E-05
-0.296,-2.89E-05,-0.00013891,1.51E-05,0.00033854,3.27E-05
-0.295,-2.95E-05,-0.000139159,1.57E-05,0.000343219,3.37E-05
-0.294,-3.01E-05,-0.000139369,1.62E-05,0.000347947,3.48E-05
-0.293,-3.07E-05,-0.000139542,1.67E-05,0.000352724,3.58E-05
-0.292,-3.13E-05,-0.000139676,1.73E-05,0.00035755,3.69E-05
-0.291,-3.20E-05,-0.000139771,1.79E-05,0.000362427,3.81E-05
-0.29,-3.26E-05,-0.000139826,1.85E-05,0.000367355,3.93E-05
-0.289,-3.33E-05,-0.00013984,1.92E-05,0.000372335,4.05E-05
-0.288,-3.40E-05,-0.000139814,1.98E-05,0.000377368,4.17E-05
-0.287,-3.47E-05,-0.000139747,2.05E-05,0.000382455,4.30E-05
-0.286,-3.55E-05,-0.000139637,2.12E-05,0.000387597,4.43E-05
-0.285,-3.62E-05,-0.000139485,2.20E-05,0.000392794,4.56E-05
-0.284,-3.70E-05,-0.00013929,2.28E-05,0.000398048,4.70E-05
-0.283,-3.78E-05,-0.000139051,2.36E-05,0.00040336,4.85E-05
-0.282,-3.86E-05,-0.000138767,2.44E-05,0.00040873,5.00E-05
-0.281,-3.94E-05,-0.000138439,2.53E-05,0.000414161,5.15E-05
-0.28,-4.02E-05,-0.000138065,2.62E-05,0.000419653,5.30E-05
-0.279,-4.11E-05,-0.000137645,2.71E-05,0.000425207,5.47E-05
-0.278,-4.20E-05,-0.000137179,2.81E-05,0.000430825,5.63E-05
-0.277,-4.29E-05,-0.000136665,2.91E-05,0.000436509,5.80E-05
