Vin,Vout_TT(Reference_corner)
-0.0002,1.06E-08
-0.000192,1.05E-08
-0.000184,1.04E-08
-0.000176,1.03E-08
-0.000168,1.02E-08
-0.00016,1.01E-08
-0.000152,1.00E-08
-0.000144,9.90E-09
-0.000136,9.78E-09
-0.000128,9.65E-09
-0.00012,9.52E-09
-0.000112,9.38E-09
-0.000104,9.23E-09
-9.60E-05,9.07E-09
-8.80E-05,8.90E-09
-8.00E-05,8.72E-09
-7.20E-05,8.52E-09
-6.40E-05,8.31E-09
-5.60E-05,8.07E-09
-4.80E-05,7.80E-09
-4.00E-05,7.49E-09
-3.20E-05,7.13E-09
-2.40E-05,6.68E-09
-1.60E-05,6.10E-09
-8.00E-06,5.19E-09
0,7.66E-10
8.00E-06,1.35E-05
1.60E-05,2.42E-05
2.40E-05,3.40E-05
3.20E-05,4.33E-05
4.00E-05,5.23E-05
4.80E-05,6.10E-05
5.60E-05,6.96E-05
6.40E-05,7.80E-05
7.20E-05,8.62E-05
8.00E-05,9.44E-05
8.80E-05,0.000102425
9.60E-05,0.000110375
0.000104,0.000118245
0.000112,0.000126043
0.00012,0.000133774
0.000128,0.000141446
0.000136,0.000149061
0.000144,0.000156625
0.000152,0.00016414
0.00016,0.000171609
0.000168,0.000179035
0.000176,0.000186421
0.000184,0.000193767
0.000192,0.000201075
0.0002,0.000208348
