Vin,Vout_TT(Reference_corner)
-0.0002,1.06E-08
-0.000199,1.06E-08
-0.000198,1.06E-08
-0.000197,1.06E-08
-0.000196,1.06E-08
-0.000195,1.06E-08
-0.000194,1.05E-08
-0.000193,1.05E-08
-0.000192,1.05E-08
-0.000191,1.05E-08
-0.00019,1.05E-08
-0.000189,1.05E-08
-0.000188,1.05E-08
-0.000187,1.05E-08
-0.000186,1.04E-08
-0.000185,1.04E-08
-0.000184,1.04E-08
-0.000183,1.04E-08
-0.000182,1.04E-08
-0.000181,1.04E-08
-0.00018,1.04E-08
-0.000179,1.04E-08
-0.000178,1.04E-08
-0.000177,1.03E-08
-0.000176,1.03E-08
-0.000175,1.03E-08
-0.000174,1.03E-08
-0.000173,1.03E-08
-0.000172,1.03E-08
-0.000171,1.03E-08
-0.00017,1.03E-08
-0.000169,1.02E-08
-0.000168,1.02E-08
-0.000167,1.02E-08
-0.000166,1.02E-08
-0.000165,1.02E-08
-0.000164,1.02E-08
-0.000163,1.02E-08
-0.000162,1.01E-08
-0.000161,1.01E-08
-0.00016,1.01E-08
-0.000159,1.01E-08
-0.000158,1.01E-08
-0.000157,1.01E-08
-0.000156,1.01E-08
-0.000155,1.01E-08
-0.000154,1.00E-08
-0.000153,1.00E-08
-0.000152,1.00E-08
-0.000151,1.00E-08
-0.00015,9.98E-09
-0.000149,9.97E-09
-0.000148,9.96E-09
-0.000147,9.94E-09
-0.000146,9.93E-09
-0.000145,9.91E-09
-0.000144,9.90E-09
-0.000143,9.88E-09
-0.000142,9.87E-09
-0.000141,9.85E-09
-0.00014,9.84E-09
-0.000139,9.82E-09
-0.000138,9.81E-09
-0.000137,9.79E-09
-0.000136,9.78E-09
-0.000135,9.76E-09
-0.000134,9.75E-09
-0.000133,9.73E-09
-0.000132,9.72E-09
-0.000131,9.70E-09
-0.00013,9.68E-09
-0.000129,9.67E-09
-0.000128,9.65E-09
-0.000127,9.64E-09
-0.000126,9.62E-09
-0.000125,9.60E-09
-0.000124,9.59E-09
-0.000123,9.57E-09
-0.000122,9.55E-09
-0.000121,9.54E-09
-0.00012,9.52E-09
-0.000119,9.50E-09
-0.000118,9.49E-09
-0.000117,9.47E-09
-0.000116,9.45E-09
-0.000115,9.43E-09
-0.000114,9.42E-09
-0.000113,9.40E-09
-0.000112,9.38E-09
-0.000111,9.36E-09
-0.00011,9.34E-09
-0.000109,9.32E-09
-0.000108,9.31E-09
-0.000107,9.29E-09
-0.000106,9.27E-09
-0.000105,9.25E-09
-0.000104,9.23E-09
-0.000103,9.21E-09
-0.000102,9.19E-09
-0.000101,9.17E-09
-0.0001,9.15E-09
-9.90E-05,9.13E-09
-9.80E-05,9.11E-09
-9.70E-05,9.09E-09
-9.60E-05,9.07E-09
-9.50E-05,9.05E-09
-9.40E-05,9.03E-09
-9.30E-05,9.01E-09
-9.20E-05,8.99E-09
-9.10E-05,8.97E-09
-9.00E-05,8.95E-09
-8.90E-05,8.93E-09
-8.80E-05,8.90E-09
-8.70E-05,8.88E-09
-8.60E-05,8.86E-09
-8.50E-05,8.84E-09
-8.40E-05,8.82E-09
-8.30E-05,8.79E-09
-8.20E-05,8.77E-09
-8.10E-05,8.75E-09
-8.00E-05,8.72E-09
-7.90E-05,8.70E-09
-7.80E-05,8.67E-09
-7.70E-05,8.65E-09
-7.60E-05,8.63E-09
-7.50E-05,8.60E-09
-7.40E-05,8.58E-09
-7.30E-05,8.55E-09
-7.20E-05,8.52E-09
-7.10E-05,8.50E-09
-7.00E-05,8.47E-09
-6.90E-05,8.45E-09
-6.80E-05,8.42E-09
-6.70E-05,8.39E-09
-6.60E-05,8.36E-09
-6.50E-05,8.34E-09
-6.40E-05,8.31E-09
-6.30E-05,8.28E-09
-6.20E-05,8.25E-09
-6.10E-05,8.22E-09
-6.00E-05,8.19E-09
-5.90E-05,8.16E-09
-5.80E-05,8.13E-09
-5.70E-05,8.10E-09
-5.60E-05,8.07E-09
-5.50E-05,8.04E-09
-5.40E-05,8.01E-09
-5.30E-05,7.97E-09
-5.20E-05,7.94E-09
-5.10E-05,7.91E-09
-5.00E-05,7.87E-09
-4.90E-05,7.84E-09
-4.80E-05,7.80E-09
