case,trial_index,accuracy
ideal,0,64.89
ideal,1,64.87
ideal,2,64.87
ideal,3,64.89
ideal,4,64.89
spin_only,0,64.58
spin_only,1,64.58
spin_only,2,64.14
spin_only,3,64.36
spin_only,4,64.7
coupler_only,0,64.04
coupler_only,1,63.94
coupler_only,2,63.96
coupler_only,3,63.95
coupler_only,4,64.58
measured_activation_only,0,0.94
measured_activation_only,1,0.94
measured_activation_only,2,0.94
measured_activation_only,3,0.94
measured_activation_only,4,0.94
nonlinear_R_only,0,64.89
nonlinear_R_only,1,64.93
nonlinear_R_only,2,64.89
nonlinear_R_only,3,64.89
nonlinear_R_only,4,64.89
summing_current_noise_only,0,24.27
summing_current_noise_only,1,24.42
summing_current_noise_only,2,24.57
summing_current_noise_only,3,24.1
summing_current_noise_only,4,24.44
all_known,0,1.03
all_known,1,1.11
all_known,2,0.92
all_known,3,1.03
all_known,4,0.89
